post_id,post_type,likes,comments,timestamp,caption,url
3193039878123577162,reels,227824,916,2023-09-16 10:27:56,"Let the symphony of friendship serenade your soul! Rooh Jaga Doon is live on all streaming platforms 🎵

@arijitsingh @jesuisnikki8adi @raj_kumardewan @appaithefuzzyguy @sou_viktree @ziamuzik @sukanto.singha.1 @shah_ritvik @sunnymr @shlokelal

#RoohJagaDoon #ArijitSingh #OriyonbyArijitSingh #IndianMusic #NewRelease",https://www.instagram.com/p/CxP9NoJNl9K/
3170362456411460669,static,365701,1386,2023-08-16 03:31:17,"Listen to ‘KASAM SE’ on all your favourite streaming platforms 🤍

#sheykhar #shekharravjiani #arijitsingh #priyasaraiya #shivamsengupta #anujdanait #ashishsaxena #kasamse #garuudaamusiic #loveanthem",https://www.instagram.com/p/Cv_Y9tXo9Q9/
3153814274858762215,reels,152222,702,2023-07-24 07:45:03,"Barkha' is all yours! Song out now.
#Barkha #SongOutNow #indianmusic 

Lyricist - Kamil Irshad (@kamil_irshad_official)
Singer - Sunidhi Chauhan (@sunidhichauhan5)
Mix engineer - Sunny MR (@sunnymr)
Stroke instruments player - Tapas Roy (@mandolintapas)
Guitar player - Adiya Shankar (@jesuisnikki8adi)
Flute player - Nirmalya Dey (@humtoo1) 

Director, Choreographer - Shashank Dogra (@shashankdogra)
Actor (female) - Elisha Mayor (@elisha_mayor)
Actor (male) - Rishav Basu (@rishav_for_you)

Composed & Music : Producer: Arijit Singh ( @arijitsingh ) 

@saregama_official 

#oriyonmusicbyarijitsingh #sunidhichauhan #monsoon #connectiontorain",https://www.instagram.com/p/CvEmV-Ugz_n/
3065541171559449147,reels,599598,3246,2023-03-24 12:31:26,"Delhi !
Rain or shine, the show must go on!
The energy was electric and the love was overwhelming. 
Thank you for braving the weather and making that evening unforgettable! ☔🎶

#performingAfter4Years #RainOrShine #delhi
#arijitsingh #arijitsinghlive #arijitsinghindiatour 
#arijitsinghconcert",https://www.instagram.com/p/CqK_XQfIsI7/
3061219231617233565,reels,460378,1549,2023-03-18 20:19:17,"Tonight is going to be special with this beautiful weather.

See you Delhi.

#arijitsingh #asl #arijitsinghlive #onenightonlytour
#Delhi
⁩",https://www.instagram.com/p/Cp7oqwQI7Kd/
3060193674402457546,reels,680941,4394,2023-03-17 03:36:08,"Thank you Bangalore, until next time.

#arijitsingh #arijitsinghlive #arijitsinghindiatour 
#arijitsinghconcert #bangalore",https://www.instagram.com/p/Cp3_e7qp-fK/
3058897531670014448,reels,380305,1522,2023-03-15 08:31:42,"How does @arijitsingh manage to outdo himself EVERY. SINGLE. TIME? 🤯
#Bairiya out now.",https://www.instagram.com/p/CpzYxkrgqnw/
3052967139287233212,reels,462505,1878,2023-03-07 04:09:04,"खुशी के रंग 💜 
Wishing you all a very colorful and musical holi 🫶 

#holi2023 #festivalofcolors #oriyonmusicbyarijitsingh #arijitsingh #yaadeinwohi",https://www.instagram.com/p/CpeUXAYJ_K8/
2982933195854775239,reels,521920,2569,2022-11-30 13:07:12,"Tatwamasi @tatwamasi.foundation Announcement 🙏 ❤️  by @arijitsingh last Saturday at Jio Gardens, Mumbai on India Tour 2022-23.
#hometotheworld #tatwamasi",https://www.instagram.com/p/Cllge_3pQPH/
2982328696472127533,carousel,736530,2984,2022-11-29 17:01:46,"Mumbai!!! I couldn’t have asked for a better start to our India tour 2022-23. 
The amount of love I witnessed last week can’t be described in words - Thank you for your continuous support and love and especially the unconditional love you have showered upon me for years. This unconditional love is what keeps me going, and this is just the beginning.

#arijitsinghlive #arijitsinghindiatour 
#ASIndiatour
@insider.in @hyperlink.brandsolutions @tatwamasi.foundation @tmtalentmanagement",https://www.instagram.com/p/CljXCX8rMgt/
